266,Customer#000000266,5481.0,10-474-243-3974,ALGERIA,VSIEruiMdDvjDaTQxkuK60Yw3AGxO,"ccounts. quickly ironic excuses after the regular foxes wake along the ironic, fina",25160.3712,156244
266,Customer#000000266,5481.0,10-474-243-3974,ALGERIA,VSIEruiMdDvjDaTQxkuK60Yw3AGxO,"ccounts. quickly ironic excuses after the regular foxes wake along the ironic, fina",68672.23120000001,156246
266,Customer#000000266,5481.0,10-474-243-3974,ALGERIA,VSIEruiMdDvjDaTQxkuK60Yw3AGxO,"ccounts. quickly ironic excuses after the regular foxes wake along the ironic, fina",89849.5552,156248
1829,Customer#000001829,2886.86,10-582-390-6176,ALGERIA,"9TWqvF0jyqs5eJ O0OPAprl0chk8WGTf,",ccounts. boldly bold foxes use slyly even requests. never regular dolphins at th,53494.0857,176131
3161,Customer#000003161,8215.99,11-373-602-7521,ARGENTINA,"QuDuSQuSoda5YhYx,k,QAuO",carefully ironic attainments nag beside the express grouch,32148.864,306005
3226,Customer#000003226,7798.17,11-340-770-2593,ARGENTINA,M22Cb5zw9SBwp2ypq,uests. platelets wake blithely on the pending platelets. regular pinto bea,77769.75,306005
3226,Customer#000003226,7798.17,11-340-770-2593,ARGENTINA,M22Cb5zw9SBwp2ypq,uests. platelets wake blithely on the pending platelets. regular pinto bea,106465.0172,306005
3226,Customer#000003226,7798.17,11-340-770-2593,ARGENTINA,M22Cb5zw9SBwp2ypq,uests. platelets wake blithely on the pending platelets. regular pinto bea,174783.68959999998,306005
3226,Customer#000003226,7798.17,11-340-770-2593,ARGENTINA,M22Cb5zw9SBwp2ypq,uests. platelets wake blithely on the pending platelets. regular pinto bea,194443.9484,306005
658,Customer#000000658,4716.68,11-675-750-9832,ARGENTINA,9SboxGtXimmJg49IyT3Zt,r ideas about the slyly ironic theodolites integrate according to,72931.0272,306005
658,Customer#000000658,4716.68,11-675-750-9832,ARGENTINA,9SboxGtXimmJg49IyT3Zt,r ideas about the slyly ironic theodolites integrate according to,129062.9362,306005
658,Customer#000000658,4716.68,11-675-750-9832,ARGENTINA,9SboxGtXimmJg49IyT3Zt,r ideas about the slyly ironic theodolites integrate according to,140444.1247,306005
6952,Customer#000006952,9600.3,11-964-186-1638,ARGENTINA,"tedolX6bU7a07kS,HSV1Kh2VartW",ckages play pending ideas. pending dependencies wake blithely along the unusual accounts. eve,90215.1936,354506
6952,Customer#000006952,9600.3,11-964-186-1638,ARGENTINA,"tedolX6bU7a07kS,HSV1Kh2VartW",ckages play pending ideas. pending dependencies wake blithely along the unusual accounts. eve,126509.7386,354506
6952,Customer#000006952,9600.3,11-964-186-1638,ARGENTINA,"tedolX6bU7a07kS,HSV1Kh2VartW",ckages play pending ideas. pending dependencies wake blithely along the unusual accounts. eve,128312.8766,354506
6952,Customer#000006952,9600.3,11-964-186-1638,ARGENTINA,"tedolX6bU7a07kS,HSV1Kh2VartW",ckages play pending ideas. pending dependencies wake blithely along the unusual accounts. eve,132702.8222,354506
7763,Customer#000007763,4516.98,11-730-932-7228,ARGENTINA,XQpGwkvyfB35aFVA8MXkWg0byM,al deposits across the slyly unusual asymptotes sleep slyly slyly final ideas. ironic attainments,48310.02,428557
700,Customer#000000700,4367.53,10-351-119-7514,ALGERIA,"zyWvi,SGc,tXTls",bold excuses. furiously even asymptotes across the carefully regular dugouts cajole fur,16488.681,454909
700,Customer#000000700,4367.53,10-351-119-7514,ALGERIA,"zyWvi,SGc,tXTls",bold excuses. furiously even asymptotes across the carefully regular dugouts cajole fur,95836.8282,454909
700,Customer#000000700,4367.53,10-351-119-7514,ALGERIA,"zyWvi,SGc,tXTls",bold excuses. furiously even asymptotes across the carefully regular dugouts cajole fur,132853.1032,454909
8698,Customer#000008698,-281.3,11-766-776-7267,ARGENTINA,"Ow,OK cWGZg,v61J1pV",are; epitaphs haggle furiously final deposits. slyly special pinto beans nag furi,61399.5228,443552
